"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","g","loglik","loglik.se.se"
"1",0.0589971015186392,-0.698720068193836,0.0182737632913156,0.429325587795206,1.1885915740463,0,0,0.0078193862218386,0,0,-0.00491293614428453,0,-43.0825749155003,0.00489877691051515
"2",0.0586074413795567,-0.696494939732339,0.0232535899215679,0.416628038209865,1.2054720533196,0,0,0.00534012867425393,0,0,0.0616721288030279,0,-42.9517492841424,0.00642035465140572
"3",0.0704409986351459,0.682880200548161,0.0199383492751937,-0.423928610102279,1.20215280525922,0,0,-0.00156035304803477,0,0,0.00719008099528257,0,-43.0466415116052,0.00570997216010935
"4",0.061679365133401,0.672193116620515,0.0142822846756133,0.424506464375108,1.21529713160098,0,0,0.00381731951933454,0,0,0.0112625722263702,0,-42.9273591449037,0.00537679838892637
"5",0.0614960080747048,0.687444262722077,0.0267067508466037,-0.415701564168582,1.22818544300785,0,0,-0.00125695343757962,0,0,0.00104520624285866,0,-42.9391607416401,0.00708328129684464
"6",0.0610626892439316,0.678399305192693,0.0292932435825861,-0.422043917461248,1.20981404089539,0,0,-0.00137049859044961,0,0,-0.0167405030927033,0,-42.8775344589867,0.00671341031911826
"7",0.0556680178088426,0.678206280638066,0.035085724779705,0.40584135939589,1.24646903874482,0,0,0.000322184631142613,0,0,0.00951250952412379,0,-43.2229151922981,0.00863970127623521
"8",0.0622039804260446,-0.677247971417317,0.0297178896129836,0.422035096403711,1.21321467170729,0,0,-0.000679036500283561,0,0,-0.0246545326829198,0,-42.8854216339172,0.00633596329395743
"9",0.0621477951843792,0.69144367833352,0.0221128404801994,-0.429493910792273,1.19905377473006,0,0,0.00101509713734409,0,0,0.0498155375778496,0,-42.9669594886088,0.00540960360922649
"10",0.0635520198440337,-0.693295163959623,0.029964479292199,-0.425142548819374,1.18769540345383,0,0,-0.00109762031655211,0,0,-0.0594623480868545,0,-42.9791249359753,0.0063287818101256
"11",0.0585133158614196,0.699946957656484,0.0163778556548237,-0.422807720797125,1.20551420041497,0,0,0.00437983811323765,0,0,0.0460335726989555,0,-42.9722089176067,0.00578568183598688
"12",0.0623223668091883,-0.678753057786139,0.0178839223848727,0.422308553537667,1.17426384895747,0,0,0.0047190585102741,0,0,-0.0387105883826147,0,-42.9516514492505,0.00667422322097045
"13",0.0595196866891829,-0.697784778817209,0.0143984352836239,-0.420893360486775,1.21694099461978,0,0,0.00491233034606524,0,0,0.0487050419417004,0,-42.994117616385,0.00572186479278595
"14",0.0580551680828295,0.681491679505526,0.0308938111184881,-0.420707717998103,1.22768660179984,0,0,0.000310032788250553,0,0,0.0591425165155099,0,-42.9195157820456,0.0062176694032313
"15",0.0690000586764408,-0.678875151533786,0.0302146343737697,0.427979880223454,1.20679342484826,0,0,-0.00322304781415773,0,0,0.0727467308925946,0,-43.1037927882465,0.00554539330045897
"16",0.0563656561048029,0.664894516176726,0.0198727689743185,-0.422122258318313,1.21047669501704,0,0,0.0034264957302937,0,0,0.0168600171398492,0,-42.964078607166,0.00664819096788093
"17",0.0642050228510719,-0.702820131249951,0.0393837103042657,0.410526430010554,1.18119864062581,0,0,0.00137964449485735,0,0,0.0127185973040597,0,-43.2021347019661,0.00797316392722463
"18",0.0567945471612168,-0.671650454772775,0.021241167206357,0.432242590172224,1.19047249554435,0,0,0.00748152194951014,0,0,-0.0239603010590202,0,-43.0320335485334,0.00517419620220099
"19",0.0570921175418752,0.704349021922987,0.0343801833448666,0.412066999225262,1.17928943925411,0,0,0.00896170078567451,0,0,-0.0391175420235774,0,-43.2823536328888,0.00704175141953944
"20",0.064193923930359,-0.665484699502908,0.0192612794981249,-0.427615408999653,1.18211495372585,0,0,0.00444253828934472,0,0,0.0355472934926963,0,-43.0098422299765,0.00572627011308342
"21",0.0598909396949657,0.702169941305064,0.0234143729395108,-0.413460570492903,1.18382178405867,0,0,0.00206787662592477,0,0,-0.0666112572486649,0,-43.0560334588546,0.00815436133173668
"22",0.0677860375043063,0.709397903277628,0.0286976576955447,-0.420515326783854,1.18707240469909,0,0,0.000392924217376914,0,0,0.0496235116704288,0,-43.1143947857177,0.00602509358405823
"23",0.0596277716690803,-0.702424418168822,0.0346721871987437,0.415542695300548,1.21005194012248,0,0,-0.000669038938041709,0,0,-0.0447969611648733,0,-43.0561217087919,0.00706758131196564
"24",0.0623567927035233,0.677286833660468,0.0337545925531307,-0.42117242070947,1.22919044059146,0,0,-0.00409032130934383,0,0,-0.0603167901381482,0,-43.0145897962281,0.00655722738956113
"25",0.0643730539974896,-0.663124798628685,0.0168772433125601,0.4164833899721,1.22137397754766,0,0,-0.00222757489267937,0,0,-0.00939238901697863,0,-43.231676750597,0.0075994524745836
"26",0.0634305361925699,0.690955738205736,0.0250006234165675,0.424166101149877,1.19963340747105,0,0,0.00154562693812414,0,0,-0.0431364646758765,0,-42.8909046219342,0.00574103073638843
