"","a","sigma","N_0","sigma_obs","z","d","c","e","loglik","loglik.se.se"
"14",0.0815073683349659,0.566414333870918,0.0159618493169739,0.291228073574876,1.05004405947077,-0.172541405381585,0.0875978639695921,-0.100639330232639,-104.323101971558,4.45340969339174
"15",0.200309031340602,0.696239714581458,0.00409658810880362,0.26507736951518,0.852175578210113,-0.0385592182109976,0.198901012061417,-0.0406992053725386,-54.618266249696,0.0156473341709151
"16",0.205715371860871,0.665530672985899,0.0665558067219127,0.238133831022079,0.787378046073553,0.141682840311864,0.254031064980641,-0.00996472276157819,-52.113654966108,0.0181579096310187
"17",0.196124414735473,-0.680358419605703,0.0496798970358106,-0.233046453836413,0.718706550337414,-0.0563568616369766,0.250650407668125,0.121610650214312,-51.977000960309,0.0120925258071022
"18",0.21365605125966,0.700557763613727,0.0361075465675722,-0.257283419478929,0.738253025277149,-0.304867356286272,0.225647857894808,-0.0965535085931867,-53.7586472951493,0.00685722996212353
"19",0.066578377116017,0.628093260119645,0.05541230536659,0.223352952991326,1.043637513454,-0.165245403168813,0.0833368867277005,0.0272025153793355,-60.8826026081616,11.472562771202
"20",0.096134295403043,-0.624160160060962,0.0219033475428746,-0.263455695200814,0.885307390395773,0.457194424646229,0.189525503546237,-0.090176896237943,-56.7375746679062,0.227925177657732
"21",0.150305408464646,-0.658669652853845,0.0254108252843805,-0.221359935348306,0.854045081137371,0.107371881617109,0.193905424062691,-0.148285137254755,-52.6226181670815,0.0847865352232397
"22",0.21071082650747,-0.708221255745983,0.0524360608614057,0.247979859270428,0.815892870927509,0.368833390776467,0.174253704675975,-0.011400732286477,-54.0607691783375,0.00915333833559758
"23",0.268350238412947,-0.672452844682072,0.0180740297996602,0.270656710636573,0.793343770069752,0.18206113542071,0.203406654065643,0.0515752476896692,-55.0061174866912,0.0160763088948189
"24",0.0866755801466892,0.537245758211098,0.0622332994833448,-0.354492757183531,0.920443523736249,0.0302480112114801,0.150712990568683,0.136132936260745,-82.842779793123,0.538224408056516
"25",0.177980410390093,0.680051035297288,0.0404492118122139,-0.237519741565808,0.762775082317969,0.240661682607678,0.273248649932429,0.00338338990074875,-51.6130251661105,0.011101097176175
"26",0.179599560989291,0.656167762059737,0.0673412078436543,-0.253453969266601,0.79574853723627,-0.155121564194089,0.268639501017313,-0.0113486530081007,-52.763938912897,0.0217007987923183
"27",0.218915488266153,-0.700004901003125,0.0337294275551097,-0.218044936635646,0.774394343605016,0.176886998671942,0.296405370828477,0.125412155112903,-54.4307212368836,0.0135805718095627
"28",0.24434476509445,0.585695078057283,0.030768202998463,0.265188033847535,0.863151894243395,0.194362679685661,0.22815168110266,-0.0400915084932708,-64.1510990095975,1.74695409580762
"29",0.10651499086565,-0.601676557906983,0.0478328435863128,-0.274198176538691,1.06600376207342,-0.0735431301610383,0.163591691914083,0.0734677380762024,-99.4280755102624,5.39503678966597
"30",0.307013429678543,0.651714979317972,0.0223691606793786,-0.306825627591857,0.716097333643907,-0.3521080973996,0.274244255039584,0.0930354607690521,-60.1375475732711,0.0125540739367572
"31",0.22415520996422,-0.695965383786088,0.0647812913116269,0.263414711669866,0.675226134186999,0.193332143952078,0.297222677240931,0.184305954872088,-56.8574534045685,0.00666782962596629
"32",0.227560945415663,0.668235559720689,0.021973178854528,-0.228170781278524,0.866131747117598,-0.0626715771886433,0.178808569170107,0.0515130037365128,-53.2844093659733,0.0601351656909262
"33",0.12420384782933,0.704968938883387,0.00588188099917543,-0.294626795963059,0.718120888289627,-0.0543076360924163,0.129011652265304,-0.250472364504609,-59.4822519722843,0.0109740592794543
"34",0.1780327207626,-0.709842659110188,0.0421870716048344,-0.297407254146404,0.878274556183055,0.0323617016700804,0.139806472891553,0.0207105897416832,-56.1609797494996,0.0102267449486122
"35",0.1789208485932,0.698919591221197,0.0329771182385286,-0.196607291500733,0.752918074197276,0.29845740384953,0.236135407390209,-0.0921668595785855,-52.7280955590513,0.0107242871208145
"36",0.172458678791339,0.70008291412986,0.0446772270136219,0.251509232748389,0.948750755009587,-0.098096052089404,0.135162249679068,-0.0568533099348308,-55.1912446590894,0.0523883580592483
"37",0.204101694860311,0.680464310437442,0.0219954504638679,0.236684945389574,0.877946180896095,0.0999268183455979,0.215377335669537,0.0980223929078657,-54.1998531794673,0.0593891748218323
"38",0.290896062916603,-0.663958167553917,0.0177704039118772,-0.281055388052524,0.819962781204616,-0.179565874661681,0.18620742904499,-0.130530181873227,-59.457599801228,0.0456296393215301
"39",0.155183301433988,0.68382408497753,0.0279840750498438,0.235003649898293,0.823480370133919,-0.138558806866185,0.277062375727575,-0.0603837062696974,-52.551061336039,0.0183407071427836
"40",0.0755560044105666,-0.574481556457618,0.0430127336588848,0.342339183683656,0.997677754208298,-0.0463382321788489,0.127312076354258,0.141951000381129,-75.206454030889,0.732329347970125
"41",0.360114684412619,0.663681320119376,0.0378414596122558,-0.236117537350104,0.749535615158947,-0.223416317996142,0.24613027222161,-0.0179328098103812,-58.0166156457118,0.0238145590649011
"42",0.145215609534947,0.614373102421735,0.0145124602886026,-0.330876724498121,1.01842529912549,-0.130632660191939,0.120798844715411,-0.0397110203345169,-65.7569426157262,0.551459434092394
"43",0.18489243753777,0.664681152867525,0.0395481632419432,0.262376845114566,0.789123227691974,-0.031224225552854,0.315896510553019,0.0123498156208573,-53.7816239509295,0.0176984923461146
"44",0.321029932738247,0.686943273043006,0.0275536008752383,0.21393456191739,0.685233326126119,-0.167103891393273,0.280867865844705,-0.0689708104643021,-55.2183292371521,0.00922092126594523
"45",0.219595813595888,-0.676829847332573,0.042704453144887,0.269191840636489,0.700532896515801,-0.278428732095207,0.216471376198086,-0.169693669285338,-54.8236385444514,0.00904116210644226
"46",0.093725840490239,0.670408056627011,0.0404183546843174,0.231800745428772,0.895141353273989,-0.059087410376606,0.222489172700554,0.127991229168776,-53.2409144183523,0.0823814773323942
"47",0.204645806923431,0.607403770999348,0.0502468637183618,-0.272019867020782,0.886213923070345,0.122383042592768,0.226754704771311,0.0624847450942077,-58.6837890866692,0.874181310363851
"48",0.208470646070466,-0.709153105273541,0.0332975948881674,0.228398908350165,0.741774460596057,-0.0312868031761768,0.185907202800863,-0.0758309814861838,-53.4008098389942,0.00852703361117807
